,iteration,P_i,C_j
348,1,149,1
349,1,150,1
350,1,151,1
351,1,152,1
352,1,153,1
353,1,154,1
354,1,155,1
355,1,156,1
356,1,157,1
357,1,158,1
358,1,159,1
359,1,160,1
360,1,161,1
361,1,162,1
362,1,163,1
363,1,164,1
364,1,165,1
365,1,166,1
366,1,167,1
367,1,168,1
368,1,169,1
369,1,170,1
370,1,171,1
371,1,172,1
372,1,173,1
373,1,174,1
374,1,175,1
375,1,176,1
376,1,177,1
377,1,178,1
378,1,179,1
379,1,180,1
380,1,181,1
381,1,182,1
382,1,183,1
383,1,184,1
384,1,185,1
385,1,186,1
386,1,187,1
387,1,188,1
388,1,189,1
389,1,190,1
390,1,191,1
391,1,192,1
392,1,193,1
393,1,194,1
394,1,195,1
395,1,196,1
396,1,197,1
397,1,198,1
398,1,199,1
399,1,200,1
400,2,1,1
401,2,2,1
402,2,3,1
403,2,4,1
404,2,5,1
405,2,6,1
406,2,7,1
407,2,8,1
408,2,9,1
409,2,10,1
410,2,11,1
411,2,12,1
412,2,13,1
413,2,14,1
414,2,15,1
415,2,16,1
416,2,17,1
417,2,18,1
418,2,19,1
419,2,20,1
420,2,21,1
421,2,22,1
422,2,23,1
423,2,24,1
424,2,25,1
425,2,26,1
426,2,27,1
427,2,28,1
428,2,29,1
429,2,30,1
430,2,31,1
431,2,32,1
432,2,33,1
433,2,34,1
434,2,35,1
435,2,36,1
436,2,37,1
437,2,38,1
438,2,39,1
439,2,40,1
440,2,41,1
441,2,42,1
442,2,43,1
443,2,44,1
444,2,45,1
445,2,46,2
446,2,47,1
447,2,48,1
448,2,49,1
449,2,50,1
450,2,51,1
451,2,52,1
452,2,53,1
453,2,54,1
454,2,55,1
455,2,56,1
456,2,57,1
457,2,58,1
458,2,59,1
459,2,60,1
460,2,61,1
461,2,62,1
462,2,63,1
463,2,64,1
464,2,65,1
465,2,66,1
466,2,67,1
467,2,68,1
468,2,69,1
469,2,70,1
470,2,71,1
471,2,72,1
472,2,73,1
473,2,74,1
474,2,75,1
475,2,76,1
476,2,77,1
477,2,78,1
478,2,79,1
479,2,80,1
480,2,81,1
481,2,82,1
482,2,83,1
483,2,84,1
484,2,85,1
485,2,86,1
486,2,87,1
487,2,88,1
488,2,89,1
489,2,90,1
490,2,91,1
491,2,92,1
492,2,93,1
493,2,94,1
494,2,95,1
495,2,96,1
496,2,97,1
497,2,98,1
498,2,99,1
499,2,100,1
500,2,101,1
501,2,102,1
502,2,103,1
503,2,104,1
504,2,105,1
505,2,106,1
506,2,107,1
507,2,108,1
508,2,109,1
509,2,110,1
510,2,111,1
511,2,112,1
512,2,113,1
513,2,114,1
514,2,115,1
515,2,116,1
516,2,117,1
517,2,118,1
518,2,119,1
519,2,120,1
520,2,121,1
521,2,122,1
522,2,123,1
523,2,124,1
524,2,125,1
525,2,126,1
526,2,127,1
527,2,128,1
528,2,129,1
529,2,130,1
530,2,131,1
531,2,132,1
532,2,133,1
533,2,134,1
534,2,135,1
535,2,136,1
536,2,137,1
537,2,138,1
538,2,139,1
539,2,140,1
540,2,141,1
541,2,142,1
542,2,143,1
543,2,144,1
544,2,145,1
545,2,146,1
546,2,147,1
547,2,148,1
548,2,149,1
549,2,150,1
550,2,151,1
551,2,152,1
552,2,153,1
553,2,154,1
554,2,155,1
555,2,156,1
556,2,157,1
557,2,158,1
558,2,159,1
559,2,160,1
560,2,161,1
561,2,162,1
562,2,163,1
563,2,164,1
564,2,165,1
565,2,166,1
566,2,167,1
567,2,168,1
568,2,169,1
569,2,170,1
570,2,171,1
571,2,172,1
572,2,173,1
573,2,174,1
574,2,175,1
575,2,176,1
576,2,177,1
577,2,178,1
578,2,179,1
579,2,180,1
580,2,181,1
581,2,182,1
582,2,183,1
583,2,184,1
584,2,185,1
585,2,186,1
586,2,187,1
587,2,188,1
588,2,189,1
589,2,190,1
590,2,191,1
591,2,192,1
592,2,193,1
593,2,194,1
594,2,195,1
595,2,196,1
596,2,197,1
597,2,198,1
598,2,199,1
599,2,200,1
600,3,1,1
601,3,2,1
602,3,3,1
603,3,4,1
604,3,5,1
605,3,6,1
606,3,7,1
607,3,8,1
608,3,9,1
609,3,10,1
610,3,11,1
611,3,12,1
612,3,13,1
613,3,14,1
614,3,15,1
615,3,16,1
616,3,17,1
617,3,18,1
618,3,19,1
619,3,20,1
620,3,21,1
621,3,22,1
622,3,23,1
623,3,24,1
624,3,25,1
625,3,26,1
626,3,27,1
627,3,28,1
628,3,29,1
629,3,30,1
630,3,31,1
631,3,32,1
632,3,33,1
633,3,34,1
634,3,35,1
635,3,36,1
636,3,37,1
637,3,38,1
638,3,39,1
639,3,40,1
640,3,41,1
641,3,42,1
642,3,43,1
643,3,44,1
644,3,45,1
645,3,46,2
646,3,47,1
647,3,48,1
648,3,49,1
649,3,50,1
650,3,51,1
651,3,52,1
652,3,53,1
653,3,54,1
654,3,55,1
655,3,56,1
656,3,57,1
657,3,58,1
658,3,59,1
659,3,60,1
660,3,61,1
661,3,62,1
662,3,63,1
663,3,64,1
664,3,65,1
665,3,66,1
666,3,67,1
667,3,68,1
668,3,69,1
669,3,70,1
670,3,71,1
671,3,72,1
672,3,73,1
673,3,74,1
674,3,75,1
675,3,76,1
676,3,77,1
677,3,78,1
678,3,79,1
679,3,80,1
680,3,81,1
681,3,82,1
682,3,83,1
683,3,84,1
684,3,85,1
685,3,86,1
686,3,87,1
687,3,88,1
688,3,89,1
689,3,90,1
690,3,91,1
691,3,92,1
692,3,93,1
693,3,94,1
694,3,95,1
695,3,96,1
696,3,97,1
697,3,98,1
698,3,99,1
699,3,100,1
700,3,101,1
701,3,102,1
702,3,103,1
703,3,104,1
704,3,105,1
705,3,106,1
706,3,107,1
707,3,108,1
708,3,109,1
709,3,110,1
710,3,111,1
711,3,112,1
712,3,113,1
713,3,114,1
714,3,115,1
715,3,116,1
716,3,117,1
717,3,118,1
718,3,119,1
719,3,120,1
720,3,121,1
721,3,122,1
722,3,123,1
723,3,124,1
724,3,125,1
725,3,126,1
726,3,127,1
727,3,128,1
728,3,129,1
729,3,130,1
730,3,131,1
731,3,132,1
732,3,133,1
733,3,134,1
734,3,135,1
735,3,136,1
736,3,137,1
737,3,138,1
738,3,139,1
739,3,140,1
740,3,141,1
741,3,142,1
742,3,143,1
743,3,144,1
744,3,145,1
745,3,146,1
746,3,147,1
747,3,148,1
748,3,149,1
749,3,150,1
750,3,151,1
751,3,152,1
752,3,153,1
753,3,154,1
754,3,155,1
755,3,156,1
756,3,157,1
757,3,158,1
758,3,159,1
759,3,160,1
760,3,161,1
761,3,162,1
762,3,163,1
763,3,164,1
764,3,165,1
765,3,166,1
766,3,167,1
767,3,168,1
768,3,169,1
769,3,170,1
770,3,171,1
771,3,172,1
772,3,173,1
773,3,174,1
774,3,175,1
775,3,176,1
776,3,177,1
777,3,178,1
778,3,179,1
779,3,180,1
780,3,181,1
781,3,182,1
782,3,183,1
783,3,184,1
784,3,185,1
785,3,186,1
786,3,187,1
787,3,188,1
788,3,189,1
789,3,190,1
790,3,191,1
791,3,192,1
792,3,193,1
793,3,194,1
794,3,195,1
795,3,196,1
796,3,197,1
797,3,198,1
798,3,199,1
799,3,200,1
800,4,1,1
801,4,2,1
802,4,3,1
803,4,4,1
804,4,5,1
805,4,6,1
806,4,7,1
807,4,8,1
808,4,9,1
809,4,10,1
810,4,11,1
811,4,12,1
812,4,13,1
813,4,14,1
814,4,15,1
815,4,16,1
816,4,17,1
817,4,18,1
818,4,19,1
819,4,20,1
820,4,21,1
821,4,22,1
822,4,23,1
823,4,24,1
824,4,25,1
825,4,26,1
826,4,27,1
827,4,28,1
828,4,29,1
829,4,30,1
830,4,31,1
831,4,32,1
832,4,33,1
833,4,34,1
834,4,35,1
835,4,36,1
836,4,37,1
837,4,38,1
838,4,39,1
839,4,40,1
